SERVICE_ID,DATE,PIPE_ID,MANUFACTURER,LATITUDE,LONGITUDE,MAINTENANCE_DAYS,COST,FAULT,REGION,YEAR,MONTH,GRADE,OD,WALL_THICKNESS,PIPE_LENGTH
26415,2016-04-19,834,M1,58.888535,-145.543520,13,19500,Damaged Coating,tul6f,2016,4,X56,16.000,0.500,19
10367,2013-02-05,834,M3,58.887240,-145.419040,14,14000,Corrosion,tul6f,2013,2,X56,16.000,0.500,19
1841,2011-05-21,834,M3,58.874577,-148.020660,14,14000,Burst,tul6f,2011,5,X56,16.000,0.500,19
23263,2015-08-24,834,M3,58.890427,-146.542000,21,21000,Joint Failure,tul6f,2015,8,X56,16.000,0.500,19
5317,2012-01-31,834,M1,58.893734,-145.349850,21,31500,Corrosion,tul6f,2012,1,X56,16.000,0.500,19
3409,2011-08-31,161,M2,33.981503,-98.451160,10,10000,Corrosion,sms2b,2011,8,X70,18.000,0.625,16
2605,2011-07-09,161,M2,33.977680,-97.566960,10,10000,Leak,sms2b,2011,7,X70,18.000,0.625,16
11741,2013-05-16,161,M3,33.975883,-97.691450,10,10000,Leak,sms2b,2013,5,X70,18.000,0.625,16
16480,2014-04-27,161,M4,33.975372,-98.378770,15,11250,Damaged Coating,sms2b,2014,4,X70,18.000,0.625,16
19321,2014-11-05,161,M2,33.959990,-97.797165,2,2000,Leak,sms2b,2014,11,X70,18.000,0.625,16
2907,2011-07-29,161,M3,33.967510,-98.377720,7,7000,Burst,sms2b,2011,7,X70,18.000,0.625,16
26665,2016-05-05,161,M2,33.959427,-99.734604,9,9000,Leak,sms2b,2016,5,X70,18.000,0.625,16
2177,2011-06-12,161,M2,33.962795,-96.816800,24,24000,Burst,sms2b,2011,6,X70,18.000,0.625,16
20109,2015-01-03,161,M2,33.971004,-98.116770,20,20000,Damaged Coating,sms2b,2015,1,X70,18.000,0.625,16
373,2011-02-02,161,M2,33.989834,-98.460846,5,5000,Leak,sms2b,2011,2,X70,18.000,0.625,16
21697,2015-05-08,161,M2,33.963745,-99.455610,5,5000,Corrosion,sms2b,2015,5,X70,18.000,0.625,16
19018,2014-10-14,161,M2,33.979565,-99.302574,23,23000,Leak,sms2b,2014,10,X70,18.000,0.625,16
19045,2014-10-16,161,M2,33.987576,-97.004630,16,16000,Damaged Coating,sms2b,2014,10,X70,18.000,0.625,16
12624,2013-07-16,161,M2,33.977860,-97.867090,16,16000,Corrosion,sms2b,2013,7,X70,18.000,0.625,16
9172,2012-10-29,161,M4,33.981766,-98.244774,24,18000,Burst,sms2b,2012,10,X70,18.000,0.625,16
3077,2011-08-09,161,M4,33.958965,-97.826294,24,18000,Leak,sms2b,2011,8,X70,18.000,0.625,16
7918,2012-08-03,161,M2,33.975110,-97.641754,11,11000,Damaged Coating,sms2b,2012,8,X70,18.000,0.625,16
27399,2016-06-24,161,M2,33.973220,-98.028380,11,11000,Leak,sms2b,2016,6,X70,18.000,0.625,16
13391,2013-09-11,161,M3,33.962025,-97.959710,11,11000,Joint Failure,sms2b,2013,9,X70,18.000,0.625,16
5855,2012-03-08,161,M1,33.960340,-97.455350,20,30000,Leak,sms2b,2012,3,X70,18.000,0.625,16
21374,2015-04-15,161,M2,33.990490,-98.131584,6,6000,Leak,sms2b,2015,4,X70,18.000,0.625,16
319,2011-01-28,161,M2,33.985744,-98.595370,17,17000,Corrosion,sms2b,2011,1,X70,18.000,0.625,16
23694,2015-09-23,161,M2,33.979424,-98.155685,17,17000,Damaged Coating,sms2b,2015,9,X70,18.000,0.625,16
24091,2015-10-19,161,M2,33.977875,-99.263855,17,17000,Damaged Coating,sms2b,2015,10,X70,18.000,0.625,16
10272,2013-01-27,161,M4,33.983486,-96.806625,16,12000,Corrosion,sms2b,2013,1,X70,18.000,0.625,16
28445,2016-09-07,161,M4,33.964005,-97.770360,9,6750,Damaged Coating,sms2b,2016,9,X70,18.000,0.625,16
11373,2013-04-21,161,M2,33.975426,-98.078180,14,14000,Corrosion,sms2b,2013,4,X70,18.000,0.625,16
2566,2011-07-07,161,M4,33.993946,-97.721220,13,9750,Corrosion,sms2b,2011,7,X70,18.000,0.625,16
678,2011-02-26,161,M2,33.962933,-99.160750,22,22000,Damaged Coating,sms2b,2011,2,X70,18.000,0.625,16
22589,2015-07-06,161,M1,33.971820,-98.509350,23,34500,Damaged Coating,sms2b,2015,7,X70,18.000,0.625,16
3256,2011-08-21,161,M3,33.979477,-98.822750,26,26000,Joint Failure,sms2b,2011,8,X70,18.000,0.625,16
23322,2015-08-28,161,M3,33.983894,-99.140710,15,15000,Joint Failure,sms2b,2015,8,X70,18.000,0.625,16
28361,2016-09-01,161,M3,33.963710,-97.380350,21,21000,Burst,sms2b,2016,9,X70,18.000,0.625,16
23656,2015-09-21,161,M2,33.961117,-98.394710,21,21000,Damaged Coating,sms2b,2015,9,X70,18.000,0.625,16
12597,2013-07-14,161,M4,33.977943,-97.025444,27,20250,Burst,sms2b,2013,7,X70,18.000,0.625,16
11834,2013-05-24,555,M1,48.558920,-94.701620,6,9000,Joint Failure,uum5e,2013,5,X42,16.000,0.375,23
15197,2014-01-26,555,M1,48.535015,-93.798480,6,9000,Corrosion,uum5e,2014,1,X42,16.000,0.375,23
23127,2015-08-15,555,M3,48.552525,-94.773480,20,20000,Joint Failure,uum5e,2015,8,X42,16.000,0.375,23
2224,2011-06-15,555,M3,48.555035,-95.450714,7,7000,Burst,uum5e,2011,6,X42,16.000,0.375,23
20684,2015-02-22,555,M3,48.568817,-95.510780,13,13000,Joint Failure,uum5e,2015,2,X42,16.000,0.375,23
21185,2015-03-31,555,M3,48.562576,-95.735560,13,13000,Burst,uum5e,2015,3,X42,16.000,0.375,23
17124,2014-06-09,555,M1,48.566990,-93.561320,16,24000,Leak,uum5e,2014,6,X42,16.000,0.375,23
26786,2016-05-13,555,M3,48.558660,-93.498160,24,24000,Burst,uum5e,2016,5,X42,16.000,0.375,23
5586,2012-02-18,555,M1,48.544240,-94.454560,16,24000,Leak,uum5e,2012,2,X42,16.000,0.375,23
25875,2016-03-07,555,M3,48.553528,-96.523350,14,14000,Joint Failure,uum5e,2016,3,X42,16.000,0.375,23
21635,2015-05-03,555,M3,48.548410,-94.748650,14,14000,Leak,uum5e,2015,5,X42,16.000,0.375,23
9574,2012-12-01,555,M1,48.538525,-96.260890,9,13500,Corrosion,uum5e,2012,12,X42,16.000,0.375,23
16142,2014-04-05,555,M4,48.564990,-94.063705,5,3750,Corrosion,uum5e,2014,4,X42,16.000,0.375,23
26098,2016-03-25,555,M1,48.558823,-93.651990,23,34500,Corrosion,uum5e,2016,3,X42,16.000,0.375,23
15227,2014-01-29,555,M3,48.549557,-94.511200,16,16000,Joint Failure,uum5e,2014,1,X42,16.000,0.375,23
6742,2012-05-13,555,M3,48.544186,-94.566120,27,27000,Joint Failure,uum5e,2012,5,X42,16.000,0.375,23
11385,2013-04-22,555,M1,48.568880,-93.880806,27,40500,Corrosion,uum5e,2013,4,X42,16.000,0.375,23
27567,2016-07-05,555,M1,48.548466,-93.458110,13,19500,Corrosion,uum5e,2016,7,X42,16.000,0.375,23
22481,2015-06-29,555,M1,48.562400,-95.030014,20,30000,Corrosion,uum5e,2015,6,X42,16.000,0.375,23
11001,2013-03-24,555,M3,48.559624,-95.753930,3,3000,Leak,uum5e,2013,3,X42,16.000,0.375,23
18216,2014-08-19,555,M3,48.569023,-94.287150,10,10000,Leak,uum5e,2014,8,X42,16.000,0.375,23
9944,2012-12-29,555,M3,48.571820,-95.189980,18,18000,Joint Failure,uum5e,2012,12,X42,16.000,0.375,23
24258,2015-11-02,555,M2,48.568996,-95.374980,18,18000,Damaged Coating,uum5e,2015,11,X42,16.000,0.375,23
24929,2015-12-28,555,M3,48.548790,-94.714165,18,18000,Burst,uum5e,2015,12,X42,16.000,0.375,23
18318,2014-08-27,555,M3,48.535540,-95.440130,18,18000,Corrosion,uum5e,2014,8,X42,16.000,0.375,23
11301,2013-04-16,555,M3,48.560707,-93.695200,21,21000,Joint Failure,uum5e,2013,4,X42,16.000,0.375,23
19992,2014-12-26,555,M1,48.556530,-93.588455,14,21000,Damaged Coating,uum5e,2014,12,X42,16.000,0.375,23
26452,2016-04-21,555,M2,48.537106,-94.360640,2,2000,Leak,uum5e,2016,4,X42,16.000,0.375,23
28501,2016-09-11,555,M3,48.545948,-93.815414,17,17000,Joint Failure,uum5e,2016,9,X42,16.000,0.375,23
17055,2014-06-04,555,M3,48.571990,-94.375460,6,6000,Joint Failure,uum5e,2014,6,X42,16.000,0.375,23
14226,2013-11-08,555,M1,48.544500,-94.068380,19,28500,Damaged Coating,uum5e,2013,11,X42,16.000,0.375,23
2170,2011-06-12,555,M1,48.542053,-95.750230,19,28500,Corrosion,uum5e,2011,6,X42,16.000,0.375,23
10822,2013-03-10,687,M3,53.431904,-93.308130,20,20000,Burst,uum5e,2013,3,X42,16.000,0.500,16
20576,2015-02-13,687,M3,53.445774,-93.777794,10,10000,Corrosion,uum5e,2015,2,X42,16.000,0.500,16
24260,2015-11-02,687,M3,53.423060,-94.313416,16,16000,Burst,uum5e,2015,11,X42,16.000,0.500,16
16006,2014-03-26,687,M3,53.438940,-94.948770,15,15000,Joint Failure,uum5e,2014,3,X42,16.000,0.500,16
14385,2013-11-19,687,M3,53.430412,-94.496940,14,14000,Corrosion,uum5e,2013,11,X42,16.000,0.500,16
28670,2016-09-22,687,M1,53.430800,-93.368515,9,13500,Corrosion,uum5e,2016,9,X42,16.000,0.500,16
314,2011-01-28,687,M1,53.437450,-94.737100,23,34500,Damaged Coating,uum5e,2011,1,X42,16.000,0.500,16
9725,2012-12-13,687,M1,53.445110,-94.458620,16,24000,Corrosion,uum5e,2012,12,X42,16.000,0.500,16
14895,2013-12-29,687,M1,53.441840,-95.842255,18,27000,Damaged Coating,uum5e,2013,12,X42,16.000,0.500,16
10126,2013-01-15,687,M1,53.431324,-94.988620,18,27000,Damaged Coating,uum5e,2013,1,X42,16.000,0.500,16
13217,2013-08-28,687,M3,53.431988,-94.989300,8,8000,Burst,uum5e,2013,8,X42,16.000,0.500,16
1342,2011-04-17,687,M3,53.438145,-95.054054,4,4000,Corrosion,uum5e,2011,4,X42,16.000,0.500,16
15177,2014-01-25,687,M3,53.419052,-94.059370,23,23000,Corrosion,uum5e,2014,1,X42,16.000,0.500,16
1419,2011-04-23,687,M3,53.431640,-95.074670,11,11000,Burst,uum5e,2011,4,X42,16.000,0.500,16
16109,2014-04-02,687,M3,53.431957,-94.078850,7,7000,Burst,uum5e,2014,4,X42,16.000,0.500,16
15418,2014-02-14,687,M3,53.443840,-95.266720,22,22000,Corrosion,uum5e,2014,2,X42,16.000,0.500,16
25005,2016-01-03,687,M3,53.426037,-94.629770,22,22000,Joint Failure,uum5e,2016,1,X42,16.000,0.500,16
20936,2015-03-11,687,M3,53.433964,-94.906075,6,6000,Burst,uum5e,2015,3,X42,16.000,0.500,16
15318,2014-02-06,687,M1,53.449574,-93.517210,21,31500,Joint Failure,uum5e,2014,2,X42,16.000,0.500,16
25535,2016-02-13,687,M1,53.424038,-93.545940,21,31500,Damaged Coating,uum5e,2016,2,X42,16.000,0.500,16
17157,2014-06-10,687,M1,53.426434,-94.743090,22,33000,Corrosion,uum5e,2014,6,X42,16.000,0.500,16
28335,2016-08-30,987,M1,64.547745,-143.356700,11,16500,Damaged Coating,tul6f,2016,8,X42,9.625,0.500,23
28289,2016-08-27,987,M3,64.543600,-146.633350,15,15000,Corrosion,tul6f,2016,8,X42,9.625,0.500,23
23544,2015-09-12,987,M3,64.519320,-148.085920,10,10000,Joint Failure,tul6f,2015,9,X42,9.625,0.500,23
1091,2011-03-28,987,M1,64.553100,-146.359220,13,19500,Damaged Coating,tul6f,2011,3,X42,9.625,0.500,23
28116,2016-08-15,987,M1,64.525870,-143.317540,13,19500,Corrosion,tul6f,2016,8,X42,9.625,0.500,23
25775,2016-02-29,987,M1,64.530525,-147.569810,23,34500,Leak,tul6f,2016,2,X42,9.625,0.500,23
19810,2014-12-12,987,M3,64.542015,-143.186550,4,4000,Joint Failure,tul6f,2014,12,X42,9.625,0.500,23
2225,2011-06-15,987,M3,64.552910,-147.286360,19,19000,Burst,tul6f,2011,6,X42,9.625,0.500,23
20759,2015-02-27,987,M3,64.547000,-144.552540,11,11000,Joint Failure,tul6f,2015,2,X42,9.625,0.500,23
2631,2011-07-11,987,M3,64.530490,-144.585050,11,11000,Joint Failure,tul6f,2011,7,X42,9.625,0.500,23
20054,2014-12-30,987,M3,64.527670,-146.237730,21,21000,Joint Failure,tul6f,2014,12,X42,9.625,0.500,23
18260,2014-08-22,987,M3,64.528520,-145.566420,22,22000,Joint Failure,tul6f,2014,8,X42,9.625,0.500,23
29852,2016-12-20,987,M1,64.542470,-143.742940,19,28500,Corrosion,tul6f,2016,12,X42,9.625,0.500,23
3613,2011-09-15,987,M3,64.523400,-146.928820,9,9000,Damaged Coating,tul6f,2011,9,X42,9.625,0.500,23
20267,2015-01-17,987,M1,64.526370,-143.528400,28,42000,Leak,tul6f,2015,1,X42,9.625,0.500,23
3142,2011-08-14,5,M2,28.221807,-98.628390,15,15000,Joint Failure,sss1a,2011,8,X60,16.000,0.625,23
22318,2015-06-20,5,M2,28.218000,-99.282490,17,17000,Leak,sss1a,2015,6,X60,16.000,0.625,23
726,2011-03-01,5,M2,28.189230,-98.024120,17,17000,Damaged Coating,sss1a,2011,3,X60,16.000,0.625,23
22786,2015-07-21,5,M4,28.213037,-99.619630,21,15750,Corrosion,sss1a,2015,7,X60,16.000,0.625,23
17207,2014-06-14,5,M4,28.219051,-96.697136,14,10500,Damaged Coating,sss1a,2014,6,X60,16.000,0.625,23
29029,2016-10-17,5,M4,28.202953,-99.479400,14,10500,Leak,sss1a,2016,10,X60,16.000,0.625,23
17020,2014-06-01,5,M4,28.204494,-97.323240,18,13500,Burst,sss1a,2014,6,X60,16.000,0.625,23
10873,2013-03-14,5,M4,28.205046,-96.159670,22,16500,Burst,sss1a,2013,3,X60,16.000,0.625,23
11128,2013-04-03,5,M4,28.189886,-98.811325,22,16500,Burst,sss1a,2013,4,X60,16.000,0.625,23
24861,2015-12-23,5,M2,28.189844,-99.184810,19,19000,Corrosion,sss1a,2015,12,X60,16.000,0.625,23
18614,2014-09-17,5,M4,28.214954,-99.827990,12,9000,Corrosion,sss1a,2014,9,X60,16.000,0.625,23
27583,2016-07-07,5,M4,28.200193,-97.400970,12,9000,Damaged Coating,sss1a,2016,7,X60,16.000,0.625,23
3308,2011-08-24,5,M4,28.189812,-99.177540,12,9000,Corrosion,sss1a,2011,8,X60,16.000,0.625,23
22551,2015-07-03,5,M4,28.187773,-95.829770,12,9000,Damaged Coating,sss1a,2015,7,X60,16.000,0.625,23
1823,2011-05-20,5,M4,28.186735,-97.338700,12,9000,Corrosion,sss1a,2011,5,X60,16.000,0.625,23
22447,2015-06-28,5,M4,28.212840,-99.466500,11,8250,Leak,sss1a,2015,6,X60,16.000,0.625,23
